"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"saturated",37.3411671560398,1037.44185000274,0,1,0.933954717587625,-478.736573898316,0.933954717587625
"no condition",38.3610031560064,1042.86495635603,5.42310635329545,0.0664335435143677,0.0620459213713065,-480.278617727022,0.996000638958931
"no interaction",39.2901161658587,1048.42555859435,10.9837085916097,0.00412019702235209,0.00384807744641622,-481.989599661648,0.999848716405347
"no lights",35.8065095969566,1054.8979040991,17.4560540963569,0.000161981723308717,0.00015128359464715,-489.216211906021,0.999999999999994
"no length",4.00701605624828,1102.92524176025,65.4833917575124,6.03201137303796e-15,5.63362547839101e-15,-547.420711887282,1
"no length or lights",2.00454283035551,1122.10292813432,84.6610781315819,4.1312404009611e-19,3.85839146196621e-19,-559.036483139391,1
"no length or condition",2.00445770054981,1136.50019065608,99.0583406533458,3.08854998173054e-22,2.88456582594241e-22,-566.235200270646,1
