"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"no interaction",55.4230864125938,1857.995691347,0,1,0.418694024521933,-870.136741488912,0.418694024521933
"no lights",54.0781412264825,1858.3777622535,0.382070906495528,0.826103299587051,0.34588451517495,-871.840949554311,0.764578539696884
"saturated",58.6855095861414,1860.21010164788,2.21441030087476,0.330481317116205,0.138370552692693,-867.554796072605,0.902949092389577
"no condition",55.9728123013216,1860.91950082673,2.92380947972333,0.23179434605315,0.0970509076104232,-870.978870837075,1
"no length or lights",14.9854519899602,1949.23457765881,91.2388863118051,1.54073365753344e-20,6.45095975789076e-21,-959.379683623648,1
"no length or condition",14.985442934823,1949.4140753463,91.4183839992977,1.40847824151608e-20,5.89721423391941e-21,-959.469441820137,1
"no length",16.9854474554646,1953.24738526413,95.2516939171246,2.07184599378846e-21,8.67469537328935e-22,-959.316002367248,1
