"Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"no length or lights",14.9854519899602,2021.75683390402,0,1,0.522115798687677,-959.379683623648,0.522115798687677
"no length or condition",14.985442934823,2021.93628805955,0.179454155535268,0.914180651451426,0.477308160977382,-959.469441820137,0.999423959665059
"no length",16.9854474554646,2035.37576789331,13.6189339892931,0.00110328079783906,0.000576040334940517,-959.316002367248,1
"no lights",54.0781412264825,2115.36982360792,93.6129897038995,4.7010792072672e-21,2.45450772499635e-21,-871.840949554311,1
"no interaction",55.4230864125938,2121.2054360893,99.4486021852804,2.54103366565451e-22,1.32671382183548e-22,-870.136741488912,1
"no condition",55.9728123013216,2126.66805088276,104.911216978741,1.65507884717602e-23,8.64142814184386e-24,-870.978870837075,1
"saturated",58.6855095861414,2138.46471422501,116.707880320989,4.54156768425198e-26,2.37122423875737e-26,-867.554796072605,1
