"Species","Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"Haddock","saturated",133.396316732284,5101.31488371598,0,1,0.55749772828417,-2065.69456289015,0.55749772828417
"Haddock","no lights",128.333212469175,5102.15476446477,0.839880748791984,0.657085997796544,0.36632395105891,-2084.52144042818,0.923821679343081
"Haddock","no interaction",129.179344632958,5105.29603045787,3.98114674189219,0.136617070725416,0.0761637065742572,-2083.01595633105,0.999985385917338
"Haddock","no time of day",131.511946713765,5122.41333987151,21.098456155537,2.62137080038395e-05,1.46140826620451e-05,-2083.09442621489,1
"Haddock","no length or lights",38.9352509739905,8137.07278909483,3035.75790537885,0,0,-3926.98712341141,1
"Haddock","no length or time of day",38.9353198030646,8138.31832375137,3037.00344003539,0,0,-3927.60964051129,1
"Haddock","no length",40.9326539653968,8142.59231772251,3041.27743400654,0,0,-3922.48532062281,1
"Grey gurnard","no lights",36.5797476031408,1048.82770074763,0,1,0.716014782859891,-409.072871217575,0.716014782859891
"Grey gurnard","saturated",38.4807109942889,1052.41991960693,3.59221885929787,0.16594324782557,0.11881781855889,-404.874981419729,0.834832601418781
"Grey gurnard","no time of day",37.8932057710223,1053.1094443771,4.28174362946766,0.117552314495561,0.0841691949382163,-407.072228640033,0.919001796356997
"Grey gurnard","no interaction",37.9165629741494,1053.18624841967,4.35854767204046,0.113123647139633,0.0809982036430029,-407.036982184894,1
"Grey gurnard","no length or time of day",14.9869093740552,1298.96464511948,250.136944371852,4.82450398633319e-55,3.45441617418104e-55,-602.226534453075,1
"Grey gurnard","no length or lights",14.9861708217522,1300.85229425973,252.0245935121,1.87739158495197e-55,1.34424012804237e-55,-603.172687780268,1
"Grey gurnard","no length",16.9864478209366,1301.97124342201,253.143542674381,1.07294668806797e-55,7.68245689877225e-56,-597.425013657905,1
"Megrim","no length or time of day",11.9847998762477,1541.12461225092,0,1,0.655839699791414,-729.733421128942,0.655839699791414
"Megrim","no length or lights",11.9846950226503,1542.42336823656,1.29875598563626,0.522370593992279,0.342591373543759,-730.383156328849,0.998431073335173
"Megrim","no length",13.9845171949179,1553.19566158377,12.071049332845,0.00239224106946615,0.00156892666482737,-728.956464212644,1
"Megrim","no lights",38.4116114477947,1635.91374867475,94.7891364238264,2.61096201347635e-21,1.71237254308512e-21,-687.099181048631,1
"Megrim","no time of day",38.8579468770452,1640.55443404987,99.4298217989456,2.56500684284812e-22,1.68223331777644e-22,-687.898982876192,1
"Megrim","saturated",41.110006800482,1648.88963250736,107.765020256432,3.97304222053488e-24,2.60567881717421e-24,-684.394439343377,1
"Megrim","no interaction",43.2505333559177,1664.55707215419,123.432459903268,1.57391722427289e-27,1.03223739986367e-27,-684.935979617174,1
"Whiting","no length or lights",14.9854519899602,2021.75683390402,0,1,0.522115798687677,-959.379683623648,0.522115798687677
"Whiting","no length or time of day",14.985442934823,2021.93628805955,0.179454155535268,0.914180651451426,0.477308160977382,-959.469441820137,0.999423959665059
"Whiting","no length",16.9854474554646,2035.37576789331,13.6189339892931,0.00110328079783906,0.000576040334940517,-959.316002367248,1
"Whiting","no lights",54.0781412264825,2115.36982360792,93.6129897038995,4.7010792072672e-21,2.45450772499635e-21,-871.840949554311,1
"Whiting","no interaction",55.4230864125938,2121.2054360893,99.4486021852804,2.54103366565451e-22,1.32671382183548e-22,-870.136741488912,1
"Whiting","no time of day",55.9728123013216,2126.66805088276,104.911216978741,1.65507884717602e-23,8.64142814184386e-24,-870.978870837075,1
"Whiting","saturated",58.6855095861414,2138.46471422501,116.707880320989,4.54156768425198e-26,2.37122423875737e-26,-867.554796072605,1
