"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"saturated",133.396316732284,4425.68701082491,0,1,0.999991677899404,-2065.69456289015,0.999991677899404
"no interaction",129.179344632958,4450.10740393052,24.4203931056054,4.97942292178082e-06,4.97938148252235e-06,-2083.01595633105,0.999996657280887
"no lights",128.333212469175,4451.0751923493,25.3881815243876,3.06920876088766e-06,3.0691832186236e-06,-2084.52144042818,0.999999726464105
"no condition",131.511946713765,4455.91066014505,30.2236493201381,2.73538170960109e-07,2.73535894547933e-07,-2083.09442621489,1
"no length",40.9326539653968,7929.29487756477,3503.60786673986,0,0,-3922.48532062281,1
"no length or lights",38.9352509739905,7934.06909355951,3508.3820827346,0,0,-3926.98712341141,1
"no length or condition",38.9353198030646,7935.31427329279,3509.62726246787,0,0,-3927.60964051129,1
