"time of day","n haul","mean depth","sd depth","mean time","sd time","total time"
"Night",22,75.6363636363636,4.19234511649,2.42424242424242,1.27887524236021,53.3333333333333
"Day",22,73.7272727272727,8.51990285089828,2.92424242424242,1.43485271327837,64.3333333333333
