"Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"saturated",133.396316732284,5101.31488371598,0,1,0.55749772828417,-2065.69456289015,0.55749772828417
"no lights",128.333212469175,5102.15476446477,0.839880748791984,0.657085997796544,0.36632395105891,-2084.52144042818,0.923821679343081
"no interaction",129.179344632958,5105.29603045787,3.98114674189219,0.136617070725416,0.0761637065742572,-2083.01595633105,0.999985385917338
"no condition",131.511946713765,5122.41333987151,21.098456155537,2.62137080038395e-05,1.46140826620451e-05,-2083.09442621489,1
"no length or lights",38.9352509739905,8137.07278909483,3035.75790537885,0,0,-3926.98712341141,1
"no length or condition",38.9353198030646,8138.31832375137,3037.00344003539,0,0,-3927.60964051129,1
"no length",40.9326539653968,8142.59231772251,3041.27743400654,0,0,-3922.48532062281,1
