"Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"no length or condition",11.9847998762477,1541.12461225092,0,1,0.655839699791414,-729.733421128942,0.655839699791414
"no length or lights",11.9846950226503,1542.42336823656,1.29875598563626,0.522370593992279,0.342591373543759,-730.383156328849,0.998431073335173
"no length",13.9845171949179,1553.19566158377,12.071049332845,0.00239224106946615,0.00156892666482737,-728.956464212644,1
"no lights",38.4116114477947,1635.91374867475,94.7891364238264,2.61096201347635e-21,1.71237254308512e-21,-687.099181048631,1
"no condition",38.8579468770452,1640.55443404987,99.4298217989456,2.56500684284812e-22,1.68223331777644e-22,-687.898982876192,1
"saturated",41.110006800482,1648.88963250736,107.765020256432,3.97304222053488e-24,2.60567881717421e-24,-684.394439343377,1
"no interaction",43.2505333559177,1664.55707215419,123.432459903268,1.57391722427289e-27,1.03223739986367e-27,-684.935979617174,1
