"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"no lights",38.4116114477947,1454.4993789202,0,1,0.47658344886675,-687.099181048631,0.47658344886675
"saturated",41.110006800482,1454.99820586317,0.498826942972983,0.779257705923061,0.371381325044804,-684.394439343377,0.847964773911554
"no condition",38.8579468770452,1457.07373338412,2.5743544639181,0.276048906372958,0.131560339855119,-687.898982876192,0.979525113766673
"no interaction",43.2505333559177,1460.79430310006,6.29492417985921,0.0429610198331834,0.0204745109989314,-684.935979617174,0.999999624765605
"no length or condition",11.9847998762477,1483.78341545727,29.2840365370689,4.37574758780308e-07,2.08540887676556e-07,-729.733421128942,0.999999833306493
"no length or lights",11.9846950226503,1485.08267027188,30.5832913516783,2.28519183556854e-07,1.08908460631739e-07,-730.383156328849,0.999999942214953
"no length",13.9845171949179,1486.35022563827,31.8508467180702,1.21248538715168e-07,5.77850467509285e-08,-728.956464212644,1
