"Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"no length",4.00701605624828,1120.33817955181,0,1,0.994749288163376,-547.420711887282,0.994749288163376
"no length or lights",2.00454283035551,1130.82792864309,10.4897490912749,0.00527448336005977,0.00524678856784903,-559.036483139391,0.999996076731225
"no length or condition",2.00445770054981,1145.22482122225,24.8866416704382,3.94397746406732e-06,3.92326877491337e-06,-566.235200270646,1
"saturated",37.3411671560398,1195.07604382952,74.7378642777048,5.90036634906806e-17,5.86938522563859e-17,-478.736573898316,1
"no condition",38.3610031560064,1204.64937661572,84.3111970639065,4.92103185398093e-19,4.89519293377683e-19,-480.278617727022,1
"no lights",35.8065095969566,1206.27025066717,85.932071115358,2.18820420385861e-19,2.17671457414446e-19,-489.216211906021,1
"no interaction",39.2901161658587,1213.98331267802,93.6451331262133,4.62612872467757e-21,4.60183825582516e-21,-481.989599661648,1
