"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"saturated",38.4807109942889,892.686559663943,0,1,0.634701929362866,-404.874981419729,0.634701929362866
"no interaction",37.9165629741494,895.704105908958,3.0175462450145,0.221181173767259,0.140384117728823,-407.036982184894,0.775086047091688
"no condition",37.8932057710223,895.720570574602,3.03401091065814,0.219367811074644,0.139233172929185,-407.072228640033,0.914319220020874
"no lights",36.5797476031408,896.691613577173,4.00505391322952,0.134993728576082,0.0856807799791263,-409.072871217575,1
"no length",16.9864478209366,1229.97582124165,337.28926157771,5.73544930967532e-74,3.64030074261384e-74,-597.425013657905,1
"no length or condition",14.9869093740552,1235.32759617509,342.641036511149,3.94861039774782e-75,2.50619063775281e-75,-602.226534453075,1
"no length or lights",14.9861708217522,1237.21833847958,344.53177881564,1.53417467699577e-75,9.73743627468865e-76,-603.172687780268,1
