"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"saturated",26.3849859027566,455.582016951925,0,1,0.890264120596287,-198.716104180447,0.890264120596287
"no lights",24.9846145891254,460.80441366909,5.22239671716551,0.0734464757904544,0.0653867621804853,-203.013227102417,0.955650882776772
"no condition",25.9490024486086,461.721862890201,6.13984593827621,0.0464247308567295,0.0413302721900856,-202.312794494517,0.996981154966857
"no interaction",29.0272182702842,466.955304680992,11.3732877290675,0.00339095439578153,0.00301884503314255,-201.173382136128,1
"no length or lights",9.81708810610989,537.294839662591,81.7128227106658,1.80420548174444e-18,1.60621940658021e-18,-258.457966122057,1
"no length",11.7361754197583,539.382605682996,83.8005887310715,6.35233461569793e-19,5.65525559037767e-19,-257.427442712531,1
"no length or condition",9.08269894407386,540.848971745395,85.2669547934703,3.05151860550775e-19,2.71665752781557e-19,-261.021491099324,1
