"Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"saturated",64.2537859349874,3438.06348494284,0,1,1,-1495.66217347353,1
"no condition",71.3227623733005,3568.71974046137,130.656255518534,4.24966407042959e-29,4.24966407042959e-29,-1536.41596374738,1
"no interaction",72.9904907665036,3575.434414767,137.370929824165,1.48006777069649e-30,1.48006777069649e-30,-1533.97566941475,1
"no length",24.1462654363822,3716.00869312015,277.945208177312,4.41534769460756e-61,4.41534769460756e-61,-1774.06313087995,1
"no length or condition",24.8978739704894,3810.8707467332,372.80726179036,1.11155689126664e-81,1.11155689126664e-81,-1818.88129259416,1
"no lights",76.3848500520417,3974.34084373643,536.277358793593,3.53876035462002e-117,3.53876035462002e-117,-1721.62885438211,1
"no length or lights",27.7329980627592,4019.7719710835,581.708486140665,4.82622090414627e-127,4.82622090414627e-127,-1913.47598052561,1
