"Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"saturated",26.3849859027566,547.572262344852,0,1,0.547581141482822,-198.716104180447,0.547581141482822
"no lights",24.9846145891254,548.197892044707,0.625629699855608,0.731385316077585,0.400492806241539,-203.013227102417,0.94807394772436
"no condition",25.9490024486086,552.284740402753,4.71247805790119,0.0947760035426399,0.0518975522050588,-202.312794494517,0.999971499929419
"no interaction",29.0272182702842,567.522070189296,19.9498078444448,4.65537070180726e-05,2.54919320292131e-05,-201.173382136128,0.999996991861449
"no length or lights",9.81708810610989,572.778692362649,25.2064300177974,3.36119158354438e-06,1.84052512405969e-06,-258.457966122057,0.999998832386573
"no length or condition",9.08269894407386,573.726804005839,26.1545416609869,2.09224934207116e-06,1.14567628299801e-06,-261.021491099324,0.999999978062856
"no length",11.7361754197583,581.637942182489,34.0656798376373,4.00619064162382e-08,2.19371444453817e-08,-257.427442712531,1
