"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"saturated",64.2537859349874,3128.38214869869,0,1,1,-1495.66217347353,1
"no interaction",72.9904907665036,3225.04456192352,96.6624132248294,1.02334875255445e-21,1.02334875255445e-21,-1533.97566941475,1
"no condition",71.3227623733005,3226.07287133013,97.6907226314397,6.11968564585816e-22,6.11968564585816e-22,-1536.41596374738,1
"no length",24.1462654363822,3597.60836245918,469.226213760483,1.28476086679701e-102,1.28476086679701e-102,-1774.06313087995,1
"no lights",76.3848500520417,3608.23252494117,479.850376242477,6.33599359192578e-105,6.33599359192578e-105,-1721.62885438211,1
"no length or condition",24.8978739704894,3688.8225242054,560.440375506703,2.00409701338156e-122,2.00409701338156e-122,-1818.88129259416,1
"no length or lights",27.7329980627592,3883.98461013628,755.60246143759,8.37549034976361e-165,8.37549034976361e-165,-1913.47598052561,1
