"Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"no length",4.00019580639312,260.03819491512,0,1,0.946498160565367,-119.666291230808,0.946498160565367
"no length or condition",2.00033531045523,266.623934399582,6.58573948446207,0.0371470937052571,0.0351596558623752,-128.134949658656,0.981657816427742
"no length or lights",2.00041183229903,267.943437868437,7.90524295331642,0.019204292126849,0.0181768271730225,-128.794503348822,0.999834643600764
"saturated",23.1561758370402,277.346784342688,17.3085894275681,0.000174376341228713,0.000165046886219096,-78.7434754881802,0.999999690486983
"no interaction",21.4575358110697,291.661982432713,31.6237875175922,1.35825650020988e-07,1.2855872790246e-07,-90.2972820912753,0.999999819045711
"no condition",21.3158252938019,291.78932710592,31.7511321907997,1.27446891624735e-07,1.20628248492586e-07,-90.7277118559085,0.99999993967396
"no lights",21.0181984383096,293.175226374657,33.1370314595365,6.37360353798695e-08,6.03260402487756e-08,-92.1909420745085,1
