"Modnames","K","BIC","Delta_BIC","ModelLik","BICWt","LL","Cum.Wt"
"no lights",36.5797476031408,1048.82770074763,0,1,0.716014782859891,-409.072871217575,0.716014782859891
"saturated",38.4807109942889,1052.41991960693,3.59221885929787,0.16594324782557,0.11881781855889,-404.874981419729,0.834832601418781
"no condition",37.8932057710223,1053.1094443771,4.28174362946766,0.117552314495561,0.0841691949382163,-407.072228640033,0.919001796356997
"no interaction",37.9165629741494,1053.18624841967,4.35854767204046,0.113123647139633,0.0809982036430029,-407.036982184894,1
"no length or condition",14.9869093740552,1298.96464511948,250.136944371852,4.82450398633319e-55,3.45441617418104e-55,-602.226534453075,1
"no length or lights",14.9861708217522,1300.85229425973,252.0245935121,1.87739158495197e-55,1.34424012804237e-55,-603.172687780268,1
"no length",16.9864478209366,1301.97124342201,253.143542674381,1.07294668806797e-55,7.68245689877225e-56,-597.425013657905,1
