"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"saturated",23.1561758370402,211.118730285758,0,1,0.999815252604187,-78.7434754881802,0.999815252604187
"no interaction",21.4575358110697,229.745894316853,18.6271640310949,9.01909006634096e-05,9.0174238129386e-05,-90.2972820912753,0.999905426842316
"no condition",21.3158252938019,230.237415588737,19.1186853029794,7.05391522318621e-05,7.05261203071844e-05,-90.7277118559085,0.999975952962623
"no lights",21.0181984383096,232.39037399871,21.2716437129524,2.40392689984931e-05,2.40348278061484e-05,-92.1909420745085,0.99999998779043
"no length",4.00019580639312,247.565552970519,36.4468226847614,1.21807214705854e-08,1.21784711140146e-08,-119.666291230808,0.999999999968901
"no length or condition",2.00033531045523,260.33955486041,49.2208245746526,2.05037711672152e-11,2.04999831488877e-11,-128.134949658656,0.999999999989401
"no length or lights",2.00041183229903,261.658819713244,50.5400894274862,1.06012975307225e-11,1.05993389686114e-11,-128.794503348822,1
